"scientific_name","attribute_name","range"
"Abutilon hybridum","Edible","No"
"Abutilon hybridum","Habit","Unknown"
"Abutilon hybridum","Kind","Plant"
"Abutilon hybridum","Native","No"
"Abutilon hybridum","Sun tolerance","Unknown"
"Acanthus mollis","Edible","No"
"Acanthus mollis","Habit","Unknown"
"Acanthus mollis","Kind","Plant"
"Acanthus mollis","Native","No"
"Acanthus mollis","Sun tolerance","Unknown"
"Acer negundo","Edible","No"
"Acer negundo","Habit","Unknown"
"Acer negundo","Kind","Tree"
"Acer negundo","Native","No"
"Acer negundo","Sun tolerance","Unknown"
"Acer palmatum","Edible","No"
"Acer palmatum","Habit","Unknown"
"Acer palmatum","Kind","Tree"
"Acer palmatum","Native","No"
"Acer palmatum","Sun tolerance","Unknown"
"Adenanthos sericeus","Edible","No"
"Adenanthos sericeus","Habit","Unknown"
"Adenanthos sericeus","Kind","Tree"
"Adenanthos sericeus","Native","Yes"
"Adenanthos sericeus","Sun tolerance","Unknown"
"Agastache aurantiaca","Edible","No"
"Agastache aurantiaca","Habit","Shrub"
"Agastache aurantiaca","Kind","Plant"
"Agastache aurantiaca","Native","No"
"Agastache aurantiaca","Sun tolerance","Full sun"
"Allium schoenoprasum","Edible","Stem"
"Allium schoenoprasum","Habit","Shrub"
"Allium schoenoprasum","Kind","Herb"
"Allium schoenoprasum","Native","No"
"Allium schoenoprasum","Sun tolerance","Full sun"
"Allium tuberosum","Edible","Stem"
"Allium tuberosum","Habit","Shrub"
"Allium tuberosum","Kind","Herb"
"Allium tuberosum","Native","No"
"Allium tuberosum","Sun tolerance","Full sun"
"Alstroemeria 1","Edible","No"
"Alstroemeria 1","Habit","Unknown"
"Alstroemeria 1","Kind","Plant"
"Alstroemeria 1","Native","No"
"Alstroemeria 1","Sun tolerance","Unknown"
"Alstroemeria 2","Edible","No"
"Alstroemeria 2","Habit","Unknown"
"Alstroemeria 2","Kind","Plant"
"Alstroemeria 2","Native","No"
"Alstroemeria 2","Sun tolerance","Unknown"
"Alstroemeria pulchella","Edible","No"
"Alstroemeria pulchella","Habit","Unknown"
"Alstroemeria pulchella","Kind","Plant"
"Alstroemeria pulchella","Native","No"
"Alstroemeria pulchella","Sun tolerance","Unknown"
